from,to,time
27907,750,"01, 01, 2009"
29638,4140,"01, 01, 2009"
16076,750,"01, 01, 2009"
40848,50057,"01, 01, 2009"
13154,2723,"01, 01, 2009"
12274,50251,"01, 01, 2009"
13744,13154,"01, 01, 2009"
23771,2131,"01, 01, 2009"
50057,50057,"01, 01, 2009"
50251,50251,"01, 01, 2009"
24995,750,"01, 01, 2009"
17413,12597,"01, 01, 2009"
404,12597,"01, 01, 2009"
2424,750,"01, 01, 2009"
20498,20498,"01, 01, 2009"
13118,25228,"01, 01, 2009"
18393,49461,"01, 01, 2009"
1572436,13502,"01, 01, 2009"
9536,22264,"01, 01, 2009"
13502,13502,"01, 01, 2009"
19594,50530,"01, 01, 2009"
19594,50530,"01, 01, 2009"
41363,3153,"01, 01, 2009"
3153,3153,"01, 01, 2009"
42404,50530,"01, 01, 2009"
27011,47204,"01, 01, 2009"
49461,49461,"01, 01, 2009"
37494,23249,"01, 01, 2009"
3458,25632,"01, 01, 2009"
419,1942,"01, 01, 2009"
33612,47204,"01, 01, 2009"
11436,576,"01, 01, 2009"
636,1942,"01, 01, 2009"
13954,13954,"01, 01, 2009"
1942,1942,"01, 01, 2009"
16457,28954,"01, 01, 2009"
13502,1443363,"01, 01, 2009"
44330,342,"01, 01, 2009"
1443363,1443363,"01, 01, 2009"
13502,1443363,"01, 01, 2009"
811,1443363,"01, 01, 2009"
1786,1443363,"01, 01, 2009"
13502,1443363,"01, 01, 2009"
13502,1443363,"01, 01, 2009"
23771,46431,"01, 01, 2009"
1443363,1443363,"01, 01, 2009"
40822,5343,"01, 01, 2009"
12460,20730,"01, 01, 2009"
20730,20730,"01, 01, 2009"
26658,20730,"01, 01, 2009"
12460,20730,"01, 01, 2009"
10661,47204,"01, 01, 2009"
10661,22468,"01, 01, 2009"
19594,2386,"01, 01, 2009"
27414,2386,"01, 01, 2009"
31395,26037,"01, 01, 2009"
2635,40868,"01, 01, 2009"
1337,36848,"01, 01, 2009"
33226,48523,"01, 01, 2009"
34509,20730,"01, 01, 2009"
26,26037,"01, 01, 2009"
956,50057,"01, 01, 2009"
50057,50057,"01, 01, 2009"
35116,1615,"01, 01, 2009"
22459,50057,"01, 01, 2009"
3458,20730,"01, 01, 2009"
50558,50558,"01, 01, 2009"
35116,1615,"01, 01, 2009"
14749,1615,"01, 01, 2009"
14065,20730,"01, 01, 2009"
21755,29291,"01, 01, 2009"
18505,32892,"01, 01, 2009"
1228,48973,"01, 01, 2009"
48973,48973,"01, 01, 2009"
43089,32892,"01, 01, 2009"
48973,48973,"01, 01, 2009"
50069,50069,"01, 01, 2009"
33708,32771,"01, 01, 2009"
22459,32892,"01, 01, 2009"
43089,50577,"01, 01, 2009"
956,50394,"01, 01, 2009"
19403,40284,"01, 01, 2009"
1228,48973,"01, 01, 2009"
42439,1384652,"01, 01, 2009"
1384652,1384652,"01, 01, 2009"
8123,3153,"01, 01, 2009"
33213,3153,"01, 01, 2009"
35378,1615,"01, 01, 2009"
1337,28586,"01, 01, 2009"
33612,47204,"01, 01, 2009"
5445,1615,"01, 01, 2009"
9209,6939,"01, 01, 2009"
8123,42974,"01, 01, 2009"
3594,15992,"01, 01, 2009"
36590,36590,"01, 01, 2009"
1786,37494,"01, 01, 2009"
2424,37494,"01, 01, 2009"
2424,1615,"01, 01, 2009"
396,2386,"01, 01, 2009"
20065,20065,"01, 01, 2009"
18149,18149,"01, 01, 2009"
26658,18149,"01, 01, 2009"
10661,47204,"01, 01, 2009"
3594,46646,"01, 01, 2009"
2635,13954,"01, 01, 2009"
8047,18149,"01, 01, 2009"
2197,50577,"01, 01, 2009"
20860,18149,"01, 01, 2009"
20301,2386,"01, 01, 2009"
3850,47204,"01, 01, 2009"
3850,47204,"01, 01, 2009"
13969,14744,"01, 01, 2009"
419,16964,"01, 01, 2009"
50506,50506,"01, 01, 2009"
21433,38249,"01, 01, 2009"
50356,22437,"01, 01, 2009"
10661,37494,"01, 01, 2009"
38426,22437,"01, 01, 2009"
26671,22437,"01, 01, 2009"
37509,23249,"01, 01, 2009"
23249,23249,"01, 01, 2009"
3850,47204,"01, 01, 2009"
13433,14101,"01, 01, 2009"
7565,22437,"01, 01, 2009"
22437,22437,"01, 01, 2009"
9536,50622,"01, 01, 2009"
23249,23249,"01, 01, 2009"
18393,49611,"01, 01, 2009"
3333,23571,"01, 01, 2009"
1288,23571,"01, 01, 2009"
12950,23571,"01, 01, 2009"
419,23571,"01, 01, 2009"
23571,23571,"01, 01, 2009"
31624,14101,"01, 01, 2009"
13954,13954,"01, 01, 2009"
28974,44984,"01, 01, 2009"
5302,5302,"01, 01, 2009"
13103,5302,"01, 01, 2009"
13103,1360,"01, 01, 2009"
1491,27424,"01, 01, 2009"
31624,17205,"01, 01, 2009"
16076,813,"01, 01, 2009"
38426,2536,"01, 01, 2009"
51,24302,"01, 01, 2009"
3834,4591,"01, 01, 2009"
49464,426996,"01, 01, 2009"
46100,426996,"01, 01, 2009"
27907,46646,"01, 01, 2009"
6939,6939,"01, 01, 2009"
22564,27424,"01, 01, 2009"
42404,426996,"01, 01, 2009"
25093,25093,"01, 01, 2009"
6461,6910,"01, 01, 2009"
16076,20730,"01, 01, 2009"
28380,42974,"01, 01, 2009"
28380,42974,"01, 01, 2009"
12950,33287,"01, 01, 2009"
14444,32688,"01, 01, 2009"
2663,1615,"01, 01, 2009"
10661,46646,"01, 01, 2009"
22704,20730,"01, 01, 2009"
27011,32688,"01, 01, 2009"
6144,2763,"02, 01, 2009"
13744,23903,"02, 01, 2009"
49544,13463,"02, 01, 2009"
10661,1384652,"02, 01, 2009"
1384652,1384652,"02, 01, 2009"
50706,50706,"02, 01, 2009"
35935,1221378,"02, 01, 2009"
2386,50216,"02, 01, 2009"
17398,17398,"02, 01, 2009"
1902010,23903,"02, 01, 2009"
3850,47937,"02, 01, 2009"
3474,24545,"02, 01, 2009"
42223,47937,"02, 01, 2009"
24181,1615,"02, 01, 2009"
10661,47937,"02, 01, 2009"
41661,22676,"02, 01, 2009"
17846,46022,"02, 01, 2009"
10585,42523,"02, 01, 2009"
6444,49217,"02, 01, 2009"
6444,49217,"02, 01, 2009"
3474,22676,"02, 01, 2009"
40650,8701,"02, 01, 2009"
23283,8701,"02, 01, 2009"
22656,8701,"02, 01, 2009"
41613,41613,"02, 01, 2009"
48048,48048,"02, 01, 2009"
13744,47537,"02, 01, 2009"
15625,21011,"02, 01, 2009"
49032,14540,"02, 01, 2009"
35364,14540,"02, 01, 2009"
17516,50623,"02, 01, 2009"
3850,14540,"02, 01, 2009"
14732,47937,"02, 01, 2009"
17516,41021,"02, 01, 2009"
49572,41021,"02, 01, 2009"
28343,28343,"02, 01, 2009"
10661,32558,"02, 01, 2009"
28380,14540,"02, 01, 2009"
5190,47204,"02, 01, 2009"
14065,50767,"02, 01, 2009"
14101,32173,"02, 01, 2009"
10661,47204,"02, 01, 2009"
3594,32558,"02, 01, 2009"
10661,32558,"02, 01, 2009"
10585,50770,"02, 01, 2009"
43980,43980,"02, 01, 2009"
14971,47937,"02, 01, 2009"
48181,18511,"02, 01, 2009"
29,41021,"02, 01, 2009"
44133,44563,"02, 01, 2009"
3594,32558,"02, 01, 2009"
10661,43980,"02, 01, 2009"
50770,50770,"02, 01, 2009"
49572,41021,"02, 01, 2009"
29,41021,"02, 01, 2009"
16076,36902,"02, 01, 2009"
36902,36902,"02, 01, 2009"
16076,36902,"02, 01, 2009"
36902,36902,"02, 01, 2009"
3850,50780,"02, 01, 2009"
16076,36902,"02, 01, 2009"
1274957,27580,"02, 01, 2009"
2663,41021,"02, 01, 2009"
4958,48181,"02, 01, 2009"
29,23249,"02, 01, 2009"
23249,23249,"02, 01, 2009"
49737,49737,"02, 01, 2009"
29,23249,"02, 01, 2009"
31641,36902,"02, 01, 2009"
29157,708,"02, 01, 2009"
31945,19234,"02, 01, 2009"
36902,36902,"02, 01, 2009"
2663,40498,"02, 01, 2009"
30568,50820,"02, 01, 2009"
3268,45284,"02, 01, 2009"
341,5004,"02, 01, 2009"
17516,40714,"02, 01, 2009"
23368,45603,"02, 01, 2009"
784,4668,"02, 01, 2009"
44523,48181,"02, 01, 2009"
16076,46646,"02, 01, 2009"
714,50335,"02, 01, 2009"
45603,45603,"02, 01, 2009"
17335,39893,"02, 01, 2009"
4918,46646,"02, 01, 2009"
50819,50819,"02, 01, 2009"
33402,2535,"02, 01, 2009"
9611,47738,"02, 01, 2009"
15609,45909,"02, 01, 2009"
45909,45909,"02, 01, 2009"
615,9476,"02, 01, 2009"
10661,46646,"02, 01, 2009"
2763,2763,"02, 01, 2009"
33,50859,"02, 01, 2009"
18615,708,"02, 01, 2009"
13018,40933,"02, 01, 2009"
50859,50859,"02, 01, 2009"
7512,40872,"02, 01, 2009"
19635,36131,"02, 01, 2009"
30333,42387,"02, 01, 2009"
18275,46971,"02, 01, 2009"
48684,26081,"02, 01, 2009"
1199,26081,"02, 01, 2009"
15416,17493,"02, 01, 2009"
3043,47738,"02, 01, 2009"
10755,48705,"02, 01, 2009"
16883,44330,"03, 01, 2009"
40536,40536,"03, 01, 2009"
22459,48557,"03, 01, 2009"
19594,39677,"03, 01, 2009"
22656,39677,"03, 01, 2009"
39677,39677,"03, 01, 2009"
36565,28954,"03, 01, 2009"
267,39677,"03, 01, 2009"
36305,11236,"03, 01, 2009"
25222,17860,"03, 01, 2009"
16260,16260,"03, 01, 2009"
17860,17860,"03, 01, 2009"
2947,48557,"03, 01, 2009"
42439,4376,"03, 01, 2009"
35378,42223,"03, 01, 2009"
35378,42223,"03, 01, 2009"
4376,4376,"03, 01, 2009"
50899,50899,"03, 01, 2009"
2766176,50851,"03, 01, 2009"
2766176,45284,"03, 01, 2009"
34509,47537,"03, 01, 2009"
